Make,Model,Type
TOYOTA,PRIUS,ECONOMY 
TOYOTA,YARIS SEDAN,ECONOMY 
TOYOTA,COROLLA HATCHBACK,ECONOMY 
TOYOTA,TUNDRA 2WD TRUCK,FULL-SIZE TRUCK
TOYOTA,CAMRY-4 CYL.,FULL-SIZE SEDAN
TOYOTA,COROLLA CROSS,MEDIUM SEDAN
TOYOTA,COROLLA IM,MEDIUM SEDAN
TOYOTA,TACOMA DOUBLE CAB,MID-SIZE TRUCK
TOYOTA,COROLLA-4 CYL.,MEDIUM SEDAN
TOYOTA,TUNDRA 2WD,FULL-SIZE TRUCK
TOYOTA,TACOMA 4WD,MID-SIZE TRUCK
TOYOTA,VENZA,MID-SIZE SUV
TOYOTA,AVALON,FULL-SIZE SEDAN
TOYOTA,TUNDRA 4WD,FULL-SIZE TRUCK
TOYOTA,SIENNA-V6,VAN
TOYOTA,HIGHLANDER-V6,MID-SIZE SUV
TOYOTA,PRIUS C,ECONOMY 
TOYOTA,RAV4-4 CYL.,COMPACT SUV
TOYOTA,4RUNNER-V6,FULL-SIZE SUV
TOYOTA,SEQUOIA-V8,FULL-SIZE SUV
TOYOTA,TUNDRA 4WD TRUCK,FULL-SIZE TRUCK
TOYOTA,SEQUOIA,FULL-SIZE SUV
TOYOTA,TACOMA DOUBLE CAB-V6,MID-SIZE TRUCK
TOYOTA,86,MEDIUM SEDAN
TOYOTA,CAMRY HYBRID,FULL-SIZE SEDAN
TOYOTA,TUNDRA DOUBLE CAB,FULL-SIZE TRUCK
TOYOTA,PRIUS PRIME,ECONOMY 
TOYOTA,SONATA-4 CYL.,
TOYOTA,TIGUAN-4 CYL.,
TOYOTA,ROGUE SPORT,
TOYOTA,VENZA-4 CYL.,MID-SIZE SUV
TOYOTA,TACOMA REGULAR CAB,MID-SIZE TRUCK
TOYOTA,CAMRY-V6,FULL-SIZE SEDAN
TOYOTA,PRIUS-4 CYL.,ECONOMY 
TOYOTA,AVALON-V6,FULL-SIZE SEDAN
TOYOTA,MATRIX-4 CYL.,ECONOMY 
TOYOTA,HIGHLANDER-4 CYL.,MID-SIZE SUV
TOYOTA,VENZA-V6,MID-SIZE SUV
VOLKSWAGEN,JETTA,MEDIUM SEDAN
VOLKSWAGEN,PASSAT,FULL-SIZE SEDAN
VOLKSWAGEN,TIGUAN,MID-SIZE SUV
VOLKSWAGEN,ATLAS,FULL-SIZE SUV
VOLKSWAGEN,GTI,ECONOMY 
VOLKSWAGEN,TIGUAN-4 CYL.,MID-SIZE SUV
VOLKSWAGEN,BEETLE,ECONOMY 
VOLKSWAGEN,GOLF,ECONOMY 
VOLKSWAGEN,JETTA SEDAN,MEDIUM SEDAN
VOLKSWAGEN,CC,FULL-SIZE SEDAN
VOLKSWAGEN,TIGUAN LIMITED,MID-SIZE SUV
VOLKSWAGEN,PASSAT-4 CYL. TURBO,FULL-SIZE SEDAN
VOLKSWAGEN,TAOS,FULL-SIZE SUV
VOLKSWAGEN,GOLF GTI,ECONOMY 
VOLKSWAGEN,ID.4,MID-SIZE SUV
VOLKSWAGEN,TOUAREG,FULL-SIZE SUV
VOLKSWAGEN,GOLF SPORTWAGEN,COMPACT SUV
VOLKSWAGEN,E-GOLF,ECONOMY 
VOLKSWAGEN,BEETLE CONVERTIBLE,ECONOMY 
VOLKSWAGEN,GTI-4 CYL.,ECONOMY 
VOLKSWAGEN,PASSAT-5 CYL.,FULL-SIZE SEDAN
VOLKSWAGEN,JETTA-5 CYL.,MEDIUM SEDAN
VOLKSWAGEN,JETTA SPORTWAGEN,MEDIUM SEDAN
VOLKSWAGEN,BEETLE-4 CYL. TURBO,ECONOMY 
VOLKSWAGEN,TOUAREG-V6,FULL-SIZE SUV
VOLKSWAGEN,CC-4 CYL. TURBO,FULL-SIZE SEDAN
VOLKSWAGEN,JETTA-4 CYL.,MEDIUM SEDAN
VOLVO,S90,FULL-SIZE SEDAN
VOLVO,XC60,MID-SIZE SUV
VOLVO,S60,MEDIUM SEDAN
VOLVO,XC40,COMPACT SUV
Wagoneer,GRAND WAGONEER 4WD,
